"date","venue"
"November 29, 1970","Club Agora"
"December 12, 1970","Santa Rosa Fairgrounds"
"December 22, 1970","Sacramento Memorial Auditorium"
"December 23, 1970","Winterland Arena"
"December 26, 1970","Legion Stadium"
"December 27, 1970","Legion Stadium"
"December 28, 1970","Legion Stadium"
"December 31, 1970","Winterland Arena"
"January 21, 1971","Freeborn Hall"
"January 22, 1971","Lane Community College"
"January 24, 1971","Seattle Center Coliseum"
"February 18, 1971","Capitol Theater"
"February 19, 1971","Capitol Theater"
"February 20, 1971","Capitol Theater"
"February 21, 1971","Capitol Theater"
"February 23, 1971","Capitol Theater"
"February 24, 1971","Capitol Theater"
"March 3, 1971","The Syndrome"
"March 5, 1971","Fillmore West"
"March 13, 1971","Jenison Field House"
"March 14, 1971","Camp Randall Field House"
"March 17, 1971","Fox Theatre"
"March 18, 1971","Fox Theatre"
"March 20, 1971","Fieldhouse"
"March 21, 1971","Exposition Center"
"March 24, 1971","Winterland Arena"
"April 4, 1971","Manhattan Center"
"April 5, 1971","Manhattan Center"
"April 6, 1971","Manhattan Center"
"April 7, 1971","Boston Music Hall"
"April 13, 1971","Catholic Youth Center"
"April 14, 1971","Bucknell University"
"April 15, 1971","Allegheny College"
"April 17, 1971","Berkeley Community Theatre"
"April 18, 1971","Auditorium Theater"
"April 21, 1971","Auditorium Theater"
"April 22, 1971","Gaelic Park"
"April 24, 1971","Northrop Auditorium"
"April 25, 1971","Auditorium Theater"
"April 26, 1971","Auditorium Theater"
"April 27, 1971","Easttown Theatre"
"April 28, 1971","Easttown Theatre"
"April 29, 1971","The Palestra"
"May 29, 1971","Onondaga County War Memorial"
"May 30, 1971","Allan Theater"
"June 21, 1971","Taft Auditorium"
"July 2, 1971","Ohio Theatre"
"July 31, 1971","Harding Theater"
"August 4, 1971","Harding Theater"
"August 5, 1971","Atlanta Municipal Auditorium"
"August 6, 1971","San Antonio Civic Auditorium"
"August 7, 1971","Texas Christian University"
"August 14, 1971","Austin Municipal Auditorium"
"August 15, 1971","Dillon Gym"
"August 23, 1971","Lusk Field House"
"August 24, 1971","Rhode Island Auditorium"
"August 26, 1971","Bangor Municipal Auditorium"
"October 19, 1971","Wallace Wade Stadium"
"October 21, 1971","Fillmore East"
"October 22, 1971","Fillmore East"
"October 23, 1971","Fillmore East"
"October 24, 1971","Fillmore East"
"October 26, 1971","Fillmore East"
"October 27, 1971","Winterland Arena"
"October 29, 1971","Winterland Arena"
"October 30, 1971","Chateau d""Herouville"
"October 31, 1971","Fillmore West"
"November 6, 1971","Yale Bowl"
"November 7, 1971","Terminal Island Correctional Fac."
"November 11, 1971","Hollywood Palladium"
"November 12, 1971","Hollywood Palladium"
"November 14, 1971","Golden Hall"
"November 15, 1971","Berkeley Community Theatre"
"March 27, 1972","Academy of Music"
"March 28, 1972","Academy of Music"
"April 4, 1972","Winterland Arena"
"April 7, 1972","Wembley Empire Pool"
"April 8, 1972","Wembley Empire Pool"
"April 11, 1972","City Hall"
"April 14, 1972","Tivoli Concert Hall"
"April 16, 1972","Aarhus University"
"April 17, 1972","Tivoli Concert Hall"
"April 21, 1972","Beat Club"
"April 24, 1972","Rheinhalle"
"April 26, 1972","Jahrhundert Halle"
"April 29, 1972","Musikhalle"
"May 3, 1972","Olympia Theater"
"May 4, 1972","Olympia Theater"
"May 7, 1972","Bickershaw Festival"
"May 10, 1972","Concertgebouw"
"May 11, 1972","Rotterdam Civic Hall"
"May 13, 1972","Lille Fairgrounds"
"May 16, 1972","Radio Luxembourg"
"November 17, 1971","Albuquerque Civic Auditorium"
"November 20, 1971","Pauley Pavilion"
"December 1, 1971","Boston Music Hall"
"December 2, 1971","Boston Music Hall"
"December 4, 1971","Felt Forum"
"December 5, 1971","Felt Forum"
"December 6, 1971","Felt Forum"
"December 7, 1971","Felt Forum"
"December 9, 1971","Fox Theatre"
"December 10, 1971","Fox Theatre"
"December 14, 1971","Hill Auditorium"
"December 15, 1971","Hill Auditorium"
"December 31, 1971","Winterland Arena"
"January 2, 1972","Winterland Arena"
"March 5, 1972","Winterland Arena"
"March 21, 1972","Academy of Music"
"March 22, 1972","Academy of Music"
"March 23, 1972","Academy of Music"
"March 25, 1972","Academy of Music"
"March 26, 1972","Academy of Music"
"May 18, 1972","Kongressaal"
"May 23, 1972","The Strand Lyceum"
"May 24, 1972","The Strand Lyceum"
"May 25, 1972","The Strand Lyceum"
"May 26, 1972","The Strand Lyceum"
"June 17, 1972","Hollywood Bowl"
"July 16, 1972","Dillon Stadium"
"July 18, 1972","Roosevelt Stadium"
"July 21, 1972","Paramount Northwest Theatre"
"July 22, 1972","Paramount Northwest Theatre"
"July 25, 1972","Paramount Theater"
"July 26, 1972","Paramount Theater"
"August 12, 1972","Sacramento Memorial Auditorium"
"August 20, 1972","San Jose Civic Auditorium"
"August 21, 1972","Berkeley Community Theatre"
"August 22, 1972","Berkeley Community Theatre"
"August 24, 1972","Berkeley Community Theatre"
"August 25, 1972","Berkeley Community Theatre"
"August 27, 1972","Old Renaissance Faire Grounds"
"September 3, 1972","Folsom Field"
"October 24, 1972","Hollywood Palladium"
"October 24, 1972","Hollywood Palladium"
"October 26, 1972","Boston Music Hall"
"October 27, 1972","Boston Music Hall"
"October 28, 1972","Baltimore Civic Center"
"October 30, 1972","Roosevelt Stadium"
"November 12, 1972","The Spectrum"
"November 13, 1972","The Palace Theater"
"November 14, 1972","The Palace Theater"
"November 15, 1972","Stanley Theatre"
"November 17, 1972","Stanley Theatre"
"November 18, 1972","Stanley Theatre"
"November 19, 1972","American University Soccer Field"
"November 22, 1972","Springfield Civic Center Arena"
"November 24, 1972","Winterland Arena"
"November 26, 1972","Fox Theatre"
"December 10, 1972","Fox Theatre"
"December 11, 1972","Fox Theatre"
"December 12, 1972","Vanderbilt University"
"December 15, 1972","Performing Arts Center"
"September 9, 1972","Dallas Memorial Auditorium"
"September 10, 1972","Performing Arts Center"
"September 15, 1972","Music Hall"
"September 16, 1972","Veterans Memorial Auditorium"
"September 17, 1972","Cleveland Public Hall"
"September 19, 1972","Ford Auditorium"
"September 21, 1972","Soldiers & Sailors Memorial Hall"
"September 23, 1972","Soldiers & Sailors Memorial Hall"
"September 24, 1972","Oklahoma City Music Hall"
"September 26, 1972","Oklahoma City Music Hall"
"September 27, 1972","Century II Convention Hall"
"September 28, 1972","Hofheinz Pavilion"
"September 30, 1972","Hofheinz Pavilion"
"October 2, 1972","Austin Municipal Auditorium"
"October 9, 1972","Dallas Memorial Auditorium"
"October 17, 1972","San Antonio Civic Auditorium"
"October 18, 1972","Winterland Arena"
"October 19, 1972","Winterland Arena"
"October 21, 1972","Winterland Arena"
"October 23, 1972","Long Beach Arena"
"December 31, 1972","Winterland Arena"
"February 9, 1973","Roscoe Maples Pavilion"
"February 15, 1973","Dane County Coliseum"
"February 17, 1973","St. Paul Auditorium"
"February 19, 1973","International Amphitheatre"
"February 21, 1973","Assembly Hall"
"February 22, 1973","Assembly Hall"
"February 24, 1973","Fieldhouse"
"February 26, 1973","Pershing Municipal Auditorium"
"February 28, 1973","Salt Palace"
"March 15, 1973","Nassau Veterans Memorial Coliseum"
"March 16, 1973","Nassau Veterans Memorial Coliseum"
"March 19, 1973","Nassau Veterans Memorial Coliseum"
"March 21, 1973","Utica Memorial Auditorium"
"March 22, 1973","Utica Memorial Auditorium"
"March 24, 1973","The Spectrum"
"March 26, 1973","Baltimore Civic Center"
"March 28, 1973","Springfield Civic Center Arena"
"March 30, 1973","Community War Memorial"
"March 31, 1973","War Memorial Auditorium"
"April 2, 1973","Providence Civic Center"
"May 13, 1973","Onondaga County War Memorial"
"May 20, 1973","Onondaga County War Memorial"
"May 26, 1973","The Spectrum"
"June 9, 1973","The Spectrum"
"June 10, 1973","Pittsburgh Civic Arena"
"June 22, 1973","War Memorial Auditorium"
"June 24, 1973","Oklahoma City Fairgrounds Arena"
"June 26, 1973","Omaha Civic Auditorium"
"June 29, 1973","Metropolitan Sports Center"
"June 30, 1973","Dane County Coliseum"
"July 1, 1973","State Fair Coliseum"
"July 27, 1973","Kiel Auditorium"
"July 28, 1973","Kiel Auditorium"
"July 31, 1973","McGaw Memorial Hall"
"August 1, 1973","Winterland Arena"
"September 7, 1973","Winterland Arena"
"September 8, 1973","Winterland Arena"
"September 11, 1973","San Diego Sports Arena"
"September 12, 1973","Pauley Pavilion"
"September 15, 1973","Boston Garden"
"September 17, 1973","State Fairgrounds"
"September 18, 1973","Campus Stadium"
"September 20, 1973","Kezar Stadium"
"September 21, 1973","Robert F. Kennedy Stadium"
"September 24, 1973","Robert F. Kennedy Stadium"
"September 26, 1973","P.N.E. Coliseum"
"October 19, 1973","Portland Memorial Coliseum"
"October 21, 1973","Seattle Center Coliseum"
"October 23, 1973","Universal Amphitheatre"
"October 25, 1973","Universal Amphitheatre"
"October 27, 1973","Universal Amphitheatre"
"October 29, 1973","Grand Prix Racecourse"
"October 30, 1973","Grand Prix Racecourse"
"November 1, 1973","Roosevelt Stadium"
"November 9, 1973","Roosevelt Stadium"
"November 10, 1973","Nassau Veterans Memorial Coliseum"
"November 11, 1973","Nassau Veterans Memorial Coliseum"
"November 14, 1973","College Of William and Mary"
"November 17, 1973","College Of William and Mary"
"November 20, 1973","Denver Coliseum"
"November 21, 1973","Denver Coliseum"
"November 23, 1973","County Coliseum"
"November 25, 1973","Feyline Field"
"November 30, 1973","Boston Music Hall"
"December 1, 1973","Boston Music Hall"
"December 2, 1973","Boston Music Hall"
"December 4, 1973","Cincinnati Gardens"
"December 6, 1973","Cleveland Convention Center"
"December 8, 1973","Cameron Indoor Stadium"
"December 10, 1973","Charlotte Coliseum"
"December 12, 1973","The Omni"
"December 18, 1973","Curtis Hixon Convention Hall"
"December 19, 1973","Curtis Hixon Convention Hall"
"February 22, 1974","Winterland Arena"
"February 23, 1974","Winterland Arena"
"February 24, 1974","Winterland Arena"
"March 23, 1974","Cow Palace"
"May 12, 1974","University of Nevada"
"May 14, 1974","Adams Field House"
"May 17, 1974","P.N.E. Coliseum"
"May 19, 1974","Portland Memorial Coliseum"
"May 21, 1974","Hec. S. Edmundson Pavilion"
"May 25, 1974","Campus Stadium"
"June 8, 1974","Oakland Coliseum Stadium"
"June 16, 1974","State Fairgrounds"
"June 18, 1974","Freedom Hall"
"June 20, 1974","The Omni"
"June 22, 1974","Jai-Alai Fronton"
"June 23, 1974","Jai-Alai Fronton"
"June 26, 1974","Providence Civic Center"
"June 28, 1974","Boston Garden"
"June 30, 1974","Springfield Civic Center Arena"
"July 19, 1974","Selland Arena"
"July 21, 1974","Hollywood Bowl"
"July 25, 1974","International Amphitheatre"
"July 27, 1974","Roanoke Civic Center"
"July 29, 1974","Capital Centre"
"July 31, 1974","Dillon Stadium"
"August 4, 1974","Civic Convention Hall Auditorium"
"August 5, 1974","Civic Convention Hall Auditorium"
"August 6, 1974","Roosevelt Stadium"
"September 9, 1974","Alexandra Palace"
"September 10, 1974","Alexandra Palace"
"September 11, 1974","Alexandra Palace"
"September 14, 1974","Olympiahalle"
"September 18, 1974","Parc des Expositions"
"September 20, 1974","Palais des Sports"
"September 21, 1974","Palais des Sports"
"October 16, 1974","Winterland Arena"
"October 17, 1974","Winterland Arena"
"October 18, 1974","Winterland Arena"
"October 19, 1974","Winterland Arena"
"October 20, 1974","Winterland Arena"
"March 23, 1975","Kezar Stadium"
"June 17, 1975","Winterland Arena"
"August 13, 1975","Great American Music Hall"
"September 28, 1975","Lindley Meadows"
"June 3, 1976","Paramount Theater"
"June 4, 1976","Paramount Theater"
"June 9, 1976","Boston Music Hall"
"June 10, 1976","Boston Music Hall"
"June 11, 1976","Boston Music Hall"
"June 12, 1976","Boston Music Hall"
"June 14, 1976","Beacon Theatre"
"June 15, 1976","Beacon Theatre"
"June 17, 1976","Capitol Theatre"
"June 18, 1976","Capitol Theatre"
